City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,22.89,73,100,9.86,PF,1660209281
Port Alfred,-33.5906,26.891,17.88,82,100,0.45,ZA,1660209283
Hobart,-42.8794,147.3294,11.92,83,75,3.09,AU,1660209213
Zhob,31.3411,69.4481,32.59,35,44,3.11,PK,1660209288
Nikolskoye,59.7035,30.7861,24.37,41,99,4.68,RU,1660209290
Koshurnikovo,54.1667,93.3,25.72,38,5,0.83,RU,1660209292
Hermanus,-34.4187,19.2345,16.0,78,98,3.08,ZA,1660209294
Fortuna,40.5982,-124.1573,16.66,93,100,1.54,US,1660209297
Sindor,62.8629,51.8905,21.43,34,82,3.65,RU,1660209299
Ranong,9.9658,98.6348,27.63,79,100,4.31,TH,1660209279
Deputatsky,69.3,139.9,16.43,61,99,3.45,RU,1660209303
Campbellsville,37.3434,-85.3419,22.19,70,54,0.35,US,1660209305
Poum,-20.2333,164.0167,21.56,59,9,9.01,NC,1660209307
Ushuaia,-54.8,-68.3,0.81,93,40,0.51,AR,1660209049
Katsuura,35.1333,140.3,27.53,86,63,9.83,JP,1660209312
Atuona,-9.8,-139.0333,25.0,70,9,10.0,PF,1660209314
Olinda,-8.0089,-34.8553,22.85,88,100,1.54,BR,1660209264
Pasni,25.2631,63.471,33.99,48,99,2.11,PK,1660209318
Norman Wells,65.282,-126.8329,7.02,76,75,2.06,CA,1660209321
Parry Sound,45.3501,-80.033,13.33,87,0,3.85,CA,1660209323
Mataura,-46.1927,168.8643,-0.55,97,2,1.5,NZ,1660209325
Cabo San Lucas,22.8909,-109.9124,28.62,84,79,3.44,MX,1660209327
Lebu,-37.6167,-73.65,6.68,86,0,2.03,CL,1660209317
Cape Town,-33.9258,18.4232,16.17,80,40,5.14,ZA,1660209331
Tazovsky,67.4667,78.7,13.57,60,32,3.22,RU,1660209334
Lompoc,34.6391,-120.4579,15.29,98,100,1.54,US,1660209336
Xai-Xai,-25.0519,33.6442,27.05,47,31,2.37,MZ,1660209085
Santa Cruz de la Sierra,-17.8,-63.1667,7.7,81,0,2.06,BO,1660209340
Salalah,17.0151,54.0924,24.05,100,100,3.09,OM,1660209159
Puerto Ayora,-0.7393,-90.3518,19.75,98,100,2.24,EC,1660209345
Coyhaique,-45.5752,-72.0662,4.34,87,0,1.54,CL,1660209191
Mahabalipuram,12.6264,80.1722,36.03,50,77,4.72,IN,1660209350
Umluj,25.0213,37.2685,33.05,63,90,8.54,SA,1660209099
Punta Arenas,-53.15,-70.9167,-0.94,86,0,3.09,CL,1660209090
Busselton,-33.65,115.3333,14.92,69,47,0.61,AU,1660209356
Qaanaaq,77.484,-69.3632,1.59,71,100,2.62,GL,1660209358
East London,-33.0153,27.9116,17.52,77,0,4.12,ZA,1660209360
Tiksi,71.6872,128.8694,9.43,72,100,1.84,RU,1660209363
Carnarvon,-24.8667,113.6333,22.15,31,0,4.51,AU,1660209282
Manjacaze,-24.7117,33.8828,27.26,44,0,2.79,MZ,1660209367
Cidreira,-30.1811,-50.2056,12.16,88,49,2.05,BR,1660209369
Thompson,55.7435,-97.8558,7.09,87,0,0.0,CA,1660209371
Chokurdakh,70.6333,147.9167,14.26,70,100,5.1,RU,1660209374
Kapaa,22.0752,-159.319,25.99,82,40,6.69,US,1660209376
Clyde River,70.4692,-68.5914,1.13,100,100,4.12,CA,1660209378
Tuatapere,-46.1333,167.6833,1.85,90,7,1.64,NZ,1660209380
Hong Kong,22.2855,114.1577,27.76,90,74,4.92,HK,1660209138
Los Llanos de Aridane,28.6585,-17.9182,20.86,88,20,7.2,ES,1660209384
Latung,5.5,120.8833,28.99,69,18,2.7,PH,1660209387
Arraial do Cabo,-22.9661,-42.0278,18.92,82,75,17.49,BR,1660209190
Acapulco de Juárez,16.8634,-99.8901,26.9,83,100,1.03,MX,1660209391
Lakes Entrance,-37.8811,147.981,10.09,65,55,3.81,AU,1660209393
Shimoda,34.6667,138.95,26.72,89,86,5.68,JP,1660209395
Lüderitz,-26.6481,15.1594,17.39,46,80,4.59,NA,1660209398
Kavieng,-2.5744,150.7967,27.6,77,96,3.74,PG,1660209400
Bambous Virieux,-20.3428,57.7575,22.9,64,75,7.2,MU,1660209402
Vestmannaeyjar,63.4427,-20.2734,10.55,87,75,6.69,IS,1660209405
Khatanga,71.9667,102.5,7.85,56,100,4.95,RU,1660209408
Bredasdorp,-34.5322,20.0403,15.66,74,100,1.21,ZA,1660209411
Longyearbyen,78.2186,15.6401,9.91,71,75,6.69,SJ,1660209413
Ambilobe,-13.2,49.05,31.08,30,23,6.62,MG,1660209415
Tandaltī,13.0167,31.8667,29.83,55,79,3.07,SD,1660209417
Karasjok,69.4719,25.5112,14.91,59,44,12.65,NO,1660209419
Cascais,38.6979,-9.4215,21.76,87,75,4.02,PT,1660209422
Avarua,-21.2078,-159.775,23.03,78,75,3.6,CK,1660209424
Moerai,-22.4333,-151.3333,22.19,72,0,1.42,PF,1660209426
Hay River,60.8156,-115.7999,9.98,81,100,3.6,CA,1660209428
Mizdah,31.4451,12.9801,29.18,31,0,0.51,LY,1660209430
Severo-Kuril'sk,50.6789,156.125,13.89,90,88,3.12,RU,1660209433
Saint Anthony,45.0205,-93.218,18.94,78,0,2.06,US,1660209435
Port Elizabeth,-33.918,25.5701,19.5,76,20,2.57,ZA,1660209438
Vaini,-21.2,-175.2,22.09,94,75,5.14,TO,1660209440
Bluff,-46.6,168.3333,4.43,78,7,4.59,NZ,1660209442
Saint-Philippe,-21.3585,55.7679,24.01,75,78,6.38,RE,1660209445
Cherskiy,68.75,161.3,17.15,54,100,3.19,RU,1660209447
Pangnirtung,66.1451,-65.7125,6.12,85,82,0.74,CA,1660209449
Pampa,35.5362,-100.9599,23.53,64,0,2.57,US,1660209451
Awjilah,29.1081,21.2869,32.39,22,0,4.66,LY,1660209453
Saint Paul Harbor,57.79,-152.4072,12.73,88,100,2.57,US,1660209456
Laas,46.6166,10.7002,22.05,60,82,0.35,IT,1660209458
Barreirinha,-2.7933,-57.07,22.08,60,70,1.0,BR,1660209460
Marrakesh,31.6315,-8.0083,25.04,61,0,1.03,MA,1660209462
Tabou,4.423,-7.3528,24.86,78,100,3.06,CI,1660209464
Albany,42.6001,-73.9662,16.99,88,76,1.42,US,1660209467
Moorhead,46.8739,-96.7676,16.1,82,0,2.06,US,1660209469
Ribeira Grande,38.5167,-28.7,23.22,73,20,1.03,PT,1660209397
Liverpool,53.4106,-2.9779,25.84,65,0,2.06,GB,1660209473
Kruisfontein,-34.0033,24.7314,18.27,64,100,1.64,ZA,1660209475
Rīga,57.0,24.0833,23.84,51,0,3.09,LV,1660209312
Saskylakh,71.9167,114.0833,9.86,61,100,6.12,RU,1660209480
Rantepao,-2.9701,119.8978,20.31,93,100,0.53,ID,1660209362
Morón,-34.6534,-58.6198,10.86,81,0,2.67,AR,1660209484
Narasannapeta,18.4167,84.05,29.57,74,99,7.68,IN,1660209376
Hilo,19.7297,-155.09,27.93,97,100,3.09,US,1660209488
Ninghai,29.2892,121.4247,31.33,74,79,1.94,CN,1660209230
Nchelenge,-9.3451,28.734,25.2,33,6,2.77,ZM,1660209492
Tuktoyaktuk,69.4541,-133.0374,7.85,89,100,5.52,CA,1660209495
Stulovo,58.7225,50.1439,20.91,47,32,4.4,RU,1660209497
The Valley,18.217,-63.0578,27.28,76,85,8.88,AI,1660209499
Ancud,-41.8697,-73.8203,9.04,93,99,5.51,CL,1660209213
Esperance,-33.8667,121.9,13.6,67,71,5.56,AU,1660209303
Bowen,-20.0167,148.2333,20.15,76,94,7.02,AU,1660209505
Pevek,69.7008,170.3133,4.9,97,57,3.52,RU,1660209508
Aykhal,66.0,111.5,9.49,95,100,7.75,RU,1660209510
Pāvilosta,56.8879,21.1859,20.95,62,29,5.54,LV,1660209512
Byron Bay,-28.65,153.6167,14.98,81,83,2.37,AU,1660209360
Jamestown,42.097,-79.2353,18.17,75,20,2.06,US,1660209516
Venice of the Philippines,4.6628,119.3928,28.99,73,17,3.75,PH,1660209518
Bethel,41.3712,-73.414,23.2,82,75,1.54,US,1660209521
Zhigansk,66.7697,123.3711,16.35,52,97,9.4,RU,1660209523
Mbandaka,0.0487,18.2603,28.45,54,100,2.76,CD,1660209419
Kathu,7.9178,98.3332,29.9,70,91,4.96,TH,1660209527
Launceston,-41.45,147.1667,10.08,96,100,4.63,AU,1660209529
Hasaki,35.7333,140.8333,30.16,85,65,11.13,JP,1660209513
Cabra,37.4725,-4.4421,28.14,58,0,0.8,ES,1660209534
Chengde,40.9725,117.9361,33.38,40,7,2.27,CN,1660209536
Grand Gaube,-20.0064,57.6608,22.99,59,60,6.26,MU,1660209538
Krivosheino,57.3431,83.9261,24.34,51,0,4.5,RU,1660209540
Beringovskiy,63.05,179.3167,12.98,80,100,5.42,RU,1660209542
Saldanha,-33.0117,17.9442,14.03,78,100,3.3,ZA,1660209545
Barrow,71.2906,-156.7887,4.91,94,51,7.93,US,1660209547
Laguna,38.421,-121.4238,21.21,77,0,2.57,US,1660209549
Hervey Bay,-25.2986,152.8535,16.68,77,71,1.34,AU,1660209551
Asău,46.4333,26.4,22.51,49,14,4.99,RO,1660209554
Margate,51.3813,1.3862,27.17,79,5,0.45,GB,1660209556
Bud,39.447,-86.1758,18.23,97,0,1.94,US,1660209558
Bubaque,11.2833,-15.8333,27.39,81,100,4.67,GW,1660209560
Benjamín Hill,30.1667,-111.1,23.61,72,99,1.32,MX,1660209562
